Iteration,0,1,2,3,4,5,6,7,8,9
1,42,32,32,32,50,42,34,30,36,36
2,38,20,18,24,26,32,22,24,28,30
3,40,36,40,32,38,38,28,30,30,44
4,26,32,40,28,32,30,24,36,36,30
5,31,41,37,33,43,49,31,49,39,37
6,27,39,35,33,41,31,27,33,33,39
7,22,16,30,22,8,42,18,16,30,32
8,34,30,44,36,26,36,26,40,30,26
9,29,55,41,37,33,37,59,35,35,39
10,35,21,23,27,55,31,23,33,21,21
11,56,26,32,32,28,40,36,42,38,46
12,53,31,49,45,27,45,41,33,47,31
13,28,40,50,32,30,28,42,20,28,50
14,27,27,19,23,17,31,19,25,21,43
15,33,35,41,43,23,31,49,35,59,33
16,45,35,55,41,47,41,39,59,37,33
17,21,25,31,43,33,19,33,21,23,35
18,42,38,46,46,38,36,30,34,30,38
19,26,40,22,26,24,14,24,20,32,34
20,46,26,30,30,44,42,30,46,36,30
21,41,45,41,41,31,39,29,35,23,31
22,34,28,36,32,46,36,32,32,42,32
23,32,26,32,36,34,36,28,44,32,36
24,28,40,30,28,44,20,38,32,40,28
25,71,25,41,45,23,35,35,51,35,29
26,31,31,35,31,27,29,31,41,23,23
27,47,39,21,33,25,27,27,23,39,19
28,31,33,39,41,43,37,39,33,25,37
29,34,28,28,40,30,26,38,44,46,22
30,17,43,33,37,31,45,27,39,29,23
31,31,47,43,31,33,29,29,39,27,29
32,44,30,30,24,22,26,20,30,24,42
33,32,30,26,30,22,20,16,22,24,22
34,40,44,46,48,46,38,30,36,38,44
35,37,41,49,25,39,19,33,35,35,53
36,31,39,39,29,27,55,45,43,45,27
37,49,43,39,29,33,33,31,29,45,31
38,31,59,37,43,31,35,45,37,31,35
39,23,9,29,21,25,43,25,33,13,17
40,35,13,23,25,23,19,17,17,11,25
41,21,23,29,41,33,27,29,21,47,27
42,30,32,22,30,40,36,26,30,26,20
43,25,47,39,45,27,23,33,37,37,27
44,30,28,38,38,20,26,38,40,22,38
45,53,31,37,53,35,51,31,29,43,29
46,44,32,32,26,30,38,28,36,28,28
47,36,36,18,30,22,28,42,22,46,24
48,32,24,30,18,18,34,22,28,30,18
49,40,40,26,32,28,26,38,32,18,22
50,48,40,50,40,42,30,42,28,36,42
51,28,24,24,54,42,34,42,26,34,26
52,38,42,58,54,32,34,44,60,36,38
53,18,28,32,30,14,14,16,24,18,24
54,31,15,23,21,43,25,43,35,15,45
55,34,26,44,38,32,40,28,36,38,30
56,56,40,24,36,34,28,46,34,22,24
57,41,45,45,33,35,27,27,33,27,25
58,32,32,28,28,28,26,30,26,34,38
59,25,37,35,25,33,25,33,29,35,45
60,32,48,54,34,46,32,44,36,30,28
61,22,36,20,22,26,36,26,16,20,22
62,30,32,30,40,28,22,44,32,24,38
63,23,39,21,39,23,33,39,31,31,21
64,14,48,20,16,18,18,36,22,22,20
65,25,33,35,47,41,31,35,29,35,45
66,36,36,56,38,40,38,40,26,38,26
67,26,26,26,42,28,30,28,22,30,30
68,31,37,31,49,31,43,31,35,31,41
69,40,26,44,22,44,42,46,18,34,44
70,29,35,27,53,29,39,41,31,25,29
71,23,31,33,31,31,21,29,41,17,37
72,24,50,28,32,56,34,34,28,28,28
73,40,32,26,46,38,26,44,28,30,42
74,31,43,29,41,29,21,49,19,29,27
75,53,33,23,25,25,29,47,23,31,45
76,23,35,37,31,23,51,37,23,31,37
77,38,46,42,36,32,32,34,38,26,46
78,21,25,23,37,19,35,39,25,17,27
79,35,29,33,27,41,33,39,31,47,23
80,32,46,24,22,32,30,20,26,32,20
81,22,48,30,26,24,46,38,32,28,26
82,44,56,36,28,28,26,34,40,30,44
83,43,29,31,25,39,37,29,43,23,35
84,37,29,27,43,37,41,31,35,37,25
85,33,41,41,37,65,41,35,35,35,39
86,33,43,37,33,29,25,55,37,35,27
87,36,38,38,52,26,42,20,22,28,34
88,70,42,48,28,50,52,28,26,36,42
89,23,31,39,25,21,17,35,17,35,27
90,30,20,22,34,26,32,26,38,36,32
91,38,36,40,36,40,26,44,34,38,38
92,40,40,42,20,50,36,50,34,34,34
93,32,30,34,42,44,18,26,38,48,22
94,39,43,29,33,35,45,51,31,39,29
95,33,33,39,43,41,27,27,45,35,25
96,36,46,32,30,22,32,50,42,34,32
97,32,32,22,44,26,30,36,30,38,34
98,39,51,49,35,41,39,63,51,41,33
99,33,21,55,29,23,33,31,39,27,43
100,33,37,41,49,37,49,39,31,41,35
101,43,57,35,35,27,23,27,27,37,33
102,49,39,51,75,39,49,35,31,39,51
103,38,38,44,44,40,30,36,40,34,36
104,44,44,30,44,42,34,38,40,58,36
105,37,53,43,25,29,37,37,35,33,51
106,31,31,47,43,25,29,31,41,43,33
107,44,48,48,34,38,60,40,46,32,44
108,34,40,32,34,30,32,40,46,36,40
109,38,40,34,32,20,44,42,32,50,24
110,49,35,43,29,41,39,29,57,31,33
111,43,57,35,41,51,29,29,31,29,43
112,34,38,48,36,28,38,32,34,44,44
113,35,35,47,33,21,19,29,31,45,37
114,33,37,29,21,27,31,33,27,31,43
115,42,36,54,50,36,50,26,38,40,30
116,30,34,30,42,46,32,36,42,28,60
117,27,29,25,31,45,23,31,31,23,51
118,46,38,34,42,46,32,44,38,30,34
119,33,29,33,35,35,23,27,29,21,23
120,25,35,39,35,23,25,23,25,23,29
121,42,36,30,44,50,38,38,32,26,38
122,29,27,35,31,23,33,25,33,39,23
123,45,39,43,39,47,43,43,31,41,33
124,35,45,29,29,35,45,37,39,39,23
125,32,30,26,30,34,32,32,46,34,44
126,18,22,46,22,18,30,32,24,24,32
127,41,33,19,41,33,33,27,25,43,31
128,26,40,28,26,48,38,36,22,38,28
129,36,54,26,20,32,30,28,24,24,22
130,48,40,30,34,24,24,36,30,26,34
131,26,30,36,30,30,20,36,26,30,34
132,25,25,25,29,29,21,19,29,27,21
133,38,38,36,30,42,34,30,60,32,40
134,40,28,24,32,32,36,34,26,34,46
135,38,42,52,36,38,34,42,44,28,34
136,35,27,29,25,21,39,45,35,33,29
137,29,25,51,27,37,53,31,33,41,45
138,28,52,42,30,34,36,42,50,30,40
139,31,25,31,27,35,27,35,27,23,37
140,25,31,23,37,31,27,33,41,37,27
141,25,39,31,31,45,31,41,41,45,35
142,35,29,29,29,19,29,37,33,21,21
143,21,29,31,45,39,45,29,33,37,29
144,33,39,27,43,49,33,49,35,39,33
145,19,31,31,21,33,25,41,23,17,25
146,30,40,34,50,30,44,32,48,26,32
147,34,36,30,28,40,24,26,36,34,42
148,35,29,45,25,57,37,63,29,31,35
149,35,31,21,39,37,19,23,23,25,23
150,18,12,8,24,22,12,8,22,22,20
151,35,25,45,37,27,33,49,37,35,27
152,38,44,28,36,20,40,32,26,28,30
153,31,33,43,37,41,57,49,31,37,39
154,28,30,36,28,30,44,32,26,34,34
155,37,25,33,37,23,25,27,33,31,31
156,23,21,19,15,27,39,23,21,15,23
157,42,36,44,28,34,38,34,32,26,30
158,36,26,28,30,26,30,28,30,20,28
159,36,32,42,42,32,40,34,32,54,34
160,22,18,26,24,16,30,28,32,16,30
